ADP,PRON,PRON,AUX,DET,ADV,ADJ,NOUN,PART,VERB,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PRON,NOUN,VERB,PRON,SCONJ,PRON,AUX,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,CCONJ,NOUN,AUX,ADP,ADV,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,PRON,NOUN,PUNCT,SCONJ,PRON,AUX,VERB,ADJ,NOUN,CCONJ,NOUN,ADP,ADJ,NOUN,PUNCT,PRON,AUX,VERB,DET,NOUN,ADV,ADJ,PUNCT,ADV,ADJ,PUNCT,CCONJ,PRON,ADP,DET,NOUN,NOUN,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADP,ADV,AUX,PART,ADV,VERB,ADP,DET,NOUN,SCONJ,PRON,AUX,ADV,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,CCONJ,NOUN,AUX,ADV,VERB,PUNCT,ADV,ADV,SCONJ,PRON,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,AUX,VERB,ADJ,NOUN,CCONJ,NOUN,PUNCT,PRON,AUX,VERB,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,PRON,ADJ,NOUN,PUNCT,SCONJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,AUX,ADJ,ADP,PRON,PUNCT,PRON,AUX,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,PRON,ADV,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADV,ADP,VERB,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PART,VERB,PRON,NOUN,NOUN,PUNCT,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,ADP,NOUN,PUNCT,PRON,ADP,PRON,NOUN,CCONJ,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PART,VERB,PRON,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,PRON,NOUN,PUNCT,PRON,AUX,PART,VERB,PART,VERB,ADP,DET,NOUN,PUNCT,SCONJ,DET,NOUN,AUX,VERB,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PART,VERB,NOUN,ADV,PUNCT,CCONJ,PRON,AUX,PART,VERB,PART,VERB,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,ADV,NUM,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,NOUN,AUX,VERB,PRON,PUNCT,SCONJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,PRON,PUNCT,PRON,AUX,AUX,VERB,ADP,DET,NOUN,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,PRON,NOUN,PUNCT,PRON,VERB,ADJ,NOUN,SCONJ,PRON,AUX,ADJ,PUNCT,SCONJ,PRON,AUX,PART,VERB,PART,VERB,ADP,NOUN,CCONJ,VERB,DET,NOUN,PUNCT,SCONJ,ADJ,NOUN,PRON,VERB,DET,SYM,NUM,NOUN,ADP,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,NOUN,AUX,ADV,ADJ,ADP,PRON,PUNCT,ADV,PRON,VERB,PRON,PRON,AUX,PART,PART,VERB,DET,NOUN,ADV,PUNCT,INTJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTJ,PUNCT,SCONJ,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,AUX,DET,NOUN,INTJ,ADP,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,AUX,PART,ADV,ADJ,PUNCT,INTJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTJ,VERB,PRON,NOUN,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUN,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,PRON,NOUN,CCONJ,NOUN,ADP,DET,PROPN,PROPN,PROPN,PRON,AUX,VERB,DET,ADJ,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,DET,NOUN,ADP,DET,PROPN,PROPN,PROPN,PUNCT,PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADJ,PART,VERB,DET,ADJ,ADJ,NOUN,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PRON,VERB,NUM,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,ADV,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,ADV,ADJ,ADJ,NOUN,PRON,VERB,PUNCT,ADJ,ADP,NOUN,CCONJ,NOUN,ADP,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
